subject,lambda_theta,Pi_kPa,Pi_mmHg
2,1.0488442211055276,4.397817250921002,32.98635602860308
2,1.049748743718593,4.424815290176319,33.1888580618023
2,1.0506532663316583,4.4519584825438,33.392448833337674
2,1.0515577889447236,4.479250598751304,33.597156626006004
2,1.052462311557789,4.506695506734225,33.80301045172086
2,1.0533668341708542,4.534297174741262,34.010040074807804
2,1.0542713567839195,4.562059674544253,34.21827603608011
2,1.055175879396985,4.589987184755911,34.42774967772388
2,1.0560804020100503,4.61808399425947,34.63849316902246
2,1.0569849246231156,4.646354505754549,34.85053953295268
2,1.0578894472361808,4.674803239423412,35.063922673684026
2,1.0587939698492461,4.70343483672229,35.27867740501594
2,1.0596984924623116,4.732254064302393,35.494839479787814
2,1.060603015075377,4.7612658180655165,35.712445620298574
2,1.0615075376884422,4.790475127359394,35.931533549774414
2,1.0624120603015075,4.819887159317971,36.152142024923556
2,1.0633165829145728,4.849507223352212,36.37431086962007
2,1.0642211055276383,4.87934077579712,36.59808100975939
2,1.0651256281407036,4.909393424720878,36.823494509329905
2,1.0660301507537688,4.9396709349024555,37.05059460774805
2,1.0669346733668341,4.970179232983967,37.2794257585042
2,1.0678391959798994,5.0009244128046015,37.51003366917045
2,1.0687437185929647,5.031912740923054,37.74246534282227
2,1.0696482412060302,5.0631506623357785,37.976769120928985
2,1.0705527638190955,5.094644806398569,38.212994727769235
2,1.0714572864321608,5.126401992959462,38.4511933164316
2,1.072361809045226,5.158429238711023,38.691417516460675
2,1.0732663316582913,5.1907337637706865,38.93372148321369
2,1.0741708542713568,5.223322998497964,39.1781609489938
2,1.0750753768844221,5.256204590557843,39.424793276029966
2,1.0759798994974874,5.289386412240041,39.67367751137589
2,1.0768844221105527,5.322876568044087,39.92487444380284
2,1.077788944723618,5.356683402540832,40.178446662765815
2,1.0786934673366835,5.390815508521201,40.43445861952429
2,1.0795979899497488,5.425281735443601,40.69297669050298
2,1.080502512562814,5.460091198191905,40.954069242982165
2,1.0814070351758793,5.4952532861562435,41.21780670320924
2,1.0823115577889446,5.530777672649589,41.48426162702896
2,1.0832160804020101,5.566674324673512,41.75350877313264
2,1.0841206030150754,5.602953513047095,42.0256251790313
2,1.0850251256281407,5.639625822913674,42.30069023986276
2,1.085929648241206,5.67670216464053,42.57878579014605
2,1.0868341708542713,5.714193785127458,42.859996188602715
2,1.0877386934673368,5.752112279540756,43.144408406168985
2,1.088643216080402,5.790469603489863,43.43211211732814
2,1.0895477386934673,5.8292780856647965,43.72319979489908
2,1.0904522613065326,5.868550440952931,44.01776680842037
2,1.091356783919598,5.908299784054987,44.31591152627851
2,1.0922613065326634,5.948539643620499,44.61773542173279
2,1.0931658291457287,5.989283976924183,44.92334318299706
2,1.094070351758794,6.030547185105565,45.2328428275465
2,1.0949748743718593,6.072344128994942,45.54634582082204
2,1.0958793969849245,6.11469014555012,45.86396719951614
2,1.0967839195979898,6.157601064929224,46.18582569962943
2,1.0976884422110553,6.201093228226021,46.51204388949666
2,1.0985929648241206,6.245183505895389,46.84274830798907
2,1.099497487437186,6.2898893168979075,47.17806960811078
2,1.1004020100502512,6.335228648593532,47.51814270621361
