subject,lambda_theta,sigma_theta_kPa,sigma_z_kPa,Pi_mmHg
1,1.1260151975781154,66.48866349831516,26.14682017574026,75.68741322600597
1,1.1263904473669146,66.85962509384171,26.1810135748873,76.1096975989248
1,1.1267656971557138,67.23383612349745,26.215390348072336,76.53568096729256
1,1.1271409469445128,67.61133840133886,26.249952602368687,76.96541093016758
1,1.127516196733312,67.99217433692353,26.28470246937865,77.39893576449727
1,1.1278914465221113,68.37638694459645,26.319642105549296,77.83630443568914
1,1.1282666963109105,68.76401985293617,26.354773692492877,78.27756660836391
1,1.1286419460997095,69.15511731435898,26.390099437311726,78.7227726572883
1,1.1290171958885087,69.54972421488532,26.42562157292746,79.17197367849289
1,1.129392445677308,69.94788608407076,26.46134235841487,79.62522150057674
1,1.1297676954661071,70.34964910510546,26.49726407934039,80.08256869620435
1,1.130142945254906,70.75506012508521,26.533389048105384,80.54406859379758
1,1.1305181950437053,71.16416666545635,26.56971960429412,81.00977528942573
1,1.1308934448325045,71.57701693263715,26.606258115026584,81.4797436588963
1,1.1312686946213037,71.99365982882125,26.643006975316233,81.95402937005314
1,1.1316439444101027,72.41414496296375,26.67996860843273,82.43268889528247
1,1.132019194198902,72.83852266195645,26.717145466269933,82.9157795242342
1,1.1323944439877012,73.26684398199053,26.754540029718612,83.40335937675673
1,1.1327696937765004,73.69916072011605,26.792154809044796,83.89548741605554
1,1.1331449435652994,74.13552542599855,26.829992344273172,84.39222346207654
1,1.1335201933540986,74.57599141387699,26.868055205576137,84.8936282051182
1,1.1338954431428978,75.0206127747249,26.906345993667806,85.39976321967535
1,1.134270692931697,75.46944438862322,26.944867340204148,85.91069097852372
1,1.134645942720496,75.92254193734306,26.98362190818829,86.42647486704357
1,1.1350211925092952,76.3799619171476,27.022612392381884,86.94717919779274
1,1.1353964422980944,76.84176165181088,27.061841519721888,87.47286922532662
1,1.1357716920868937,77.30799930586504,27.101312049743598,88.00361116127807
1,1.1361469418756927,77.77873389807303,27.141026775009387,88.53947218969421
1,1.1365221916644919,78.2540253151368,27.18098852154369,89.08052048264103
1,1.136897441453291,78.73393432563982,27.22120014927392,89.62682521607498
1,1.1372726912420903,79.21852259423395,27.26166455247787,90.17845658599245
1,1.1376479410308893,79.7078526960704,27.302384660237244,90.73548582485749
1,1.1380231908196885,80.20198813148309,27.34336343689784,91.29798521831636
1,1.1383984406084877,80.70099334092478,27.384603882536005,91.86602812220025
1,1.138773690397287,81.20493372016578,27.42610903343193,92.43968897982677
