subject,lambda_theta,sigma_theta_kPa,sigma_z_kPa
2,1.088643216080402,42.3105687804119,14.05581835744578
2,1.0895477386934673,42.594139728325395,14.106800516923258
2,1.0904522613065326,42.88110016562497,14.157993754974019
2,1.091356783919598,43.171545920539586,14.209401996552682
2,1.0922613065326634,43.465575845994096,14.261029220748597
2,1.0931658291457287,43.763291926848495,14.312879461711152
2,1.094070351758794,44.06479939125287,14.364956809592032
2,1.0949748743718593,44.37020682628658,14.41726541150426
2,1.0958793969849245,44.67962629806042,14.469809472498724
2,1.0967839195979898,44.99317347646648,14.522593256558512
2,1.0976884422110553,45.31096776476893,14.575621087611172
2,1.0985929648241206,45.633132434237694,14.628897350559454
2,1.099497487437186,45.95979476403667,14.68242649233093
2,1.1004020100502512,46.291086186585446,14.73621302294669
2,1.1013065326633165,46.62714243862558,14.790261516609633
2,1.102211055276382,46.96810371823163,14.844576612812677
2,1.1031155778894473,47.31411484801747,14.899163017467336
2,1.1040201005025125,47.66532544480137,14.954025504053073
2,1.1049246231155778,48.02189009600275,15.00916891478768
2,1.105829145728643,48.38396854305801,15.064598161819397
2,1.1067336683417084,48.751725872154765,15.120318228440997
2,1.107638190954774,49.1253327125973,15.1763341703263
2,1.1085427135678392,49.50496544313039,15.232651116789562
2,1.1094472361809045,49.89080640656482,15.289274272068432
2,1.1103517587939697,50.28304413306056,15.346208916630484
2,1.111256281407035,50.68187357244298,15.4034604085042
2,1.1121608040201005,51.087496335943754,15.461034184634904
2,1.1130653266331658,51.50012094777385,15.518935762265718
2,1.113969849246231,51.91996310695954,15.57717074034462
2,1.1148743718592964,52.347245959886784,15.635744800957667
2,1.1157788944723617,52.782200384024236,15.694663710789314
2,1.1166834170854272,53.22506528331478,15.753933322609864
2,1.1175879396984925,53.67608789574845,15.813559576791238
2,1.1184924623115577,54.13552411365531,15.873548502851136
2,1.119396984924623,54.60363881727872,15.933906221026342
2,1.1203015075376883,55.08070622221872,15.994638943875893
2,1.1212060301507538,55.567010241362205,16.055752977914434
2,1.122110552763819,56.06284486194344,16.117254725276688
2,1.1230150753768844,56.56851453841375,16.179150685413532
2,1.1239195979899497,57.08433460182442,16.24144745682029
2,1.124824120603015,57.61063168646733,16.304151738797874
2,1.1257286432160805,58.14774417454795,16.367270333247816
2,1.1266331658291457,58.69602265970481,16.4308101465012
2,1.127537688442211,59.2558304302291,16.49477819118303
2,1.1284422110552763,59.82754397287522,16.559181588111972
2,1.1293467336683416,60.41155349820089,16.624027568236766
2,1.130251256281407,61.00826348841666,16.68932347460989
2,1.1311557788944724,61.61809326877356,16.755076764399085
2,1.1320603015075377,62.24147760356837,16.82129501093786
2,1.132964824120603,62.87886731789516,16.887985905815427
2,1.1338693467336682,63.5307299463302,16.955157261007198
2,1.1347738693467337,64.19755040979337,17.02281701104656
2,1.135678391959799,64.87983172188825,17.090973215238712
2,1.1365829145728643,65.57809572609281,17.15963405991756
2,1.1374874371859296,66.29288386523058,17.228807860746564
